A4	[0]/'ei'fO:	n. A4型纸（规格为297×210毫米的纸）
Alaskan	[0]/E'lAskEn	adj. 阿拉斯加的；阿拉斯加州的
Albania	[3A]/Al'beiniE/	n. 阿尔巴尼亚（位于欧洲）
Albanian	[3A]/Al'beiniEn/	n. 阿尔巴尼亚人
Albany	[3A]/'O:bEni/	n. 奥尔巴尼（美国城市名）
Albert	[3A]/'AlbEt/	n. 艾伯特（男子名）
Alberta	[3A]/Al'bE:tE/	n. 亚伯达（加拿大西部的一个省）
Albuquerque	[3A]/'AlbEkE:ki/	n. 阿尔伯克基（美国新墨西哥州中部大城）
Alcott	[3A]/'O:lkEt/	n. 奥尔科特（姓氏）
Alden	[3A]/'O:ldEn/	n. 奥尔登（男子名）
Alder	[0]/'OldM	n. 阿尔德（姓氏）
Aldo	[0]/'B:ldEu; 'O:l-; Al-	n. 奥尔多（男子名）
Alex	[0]/'Aliks	n. 亚历克斯（男子名）
Alexander	[3A]//,AlIg'zAndM	n. 亚历山大（男子名）
Alexandra	[3A]/,Aliɡ'zB:ndrE/	n. 亚历山德拉（女子名，义为男人的保护者）
Alexandrine	[0]/'AlIg'zAndrIn	n. 亚历山大格式的诗行
Alexis	[3A]/E'leksis/	n. 亚历克西斯（男子名）
Alfred	[3A]/'Alfrid; -fred/	n. 阿尔佛雷德（男子名）
Algeria	[3A]/Al'dGiEriE/	n. 阿尔及利亚（北非国家）
Algerian	[0]/Al'dGiEriEn	adj. 阿尔及利亚的
Algiers	[3A]/Al'dGiErz/	n. 阿尔及尔（阿尔及利亚首都）
Ali	[3A]/'B:li:/	n. 阿里
Alice	[3A]/'Alis/	n. 爱丽丝（女子名）
Alicia	[3A]/E'liFiE/	n. 艾丽西娅
Alison	[3A]/'AlisEn/	n. 艾莉森（女子名）
Allan	[3A]/'AlEn/	n. 艾伦（男子名，等于Alan）
Allen	[3A]/'AlEn/	n. 艾伦（男子名）
Allentown	[3A]/'AlEntaun/	n. 艾伦镇（美国宾夕法尼亚州）
Alma	[3A]//'AlmE	n. 阿尔玛（女子名）；舞女；歌女
Aloe	[0]/'Alo	n. 芦荟；龙舌兰
Alps	[3A]/Alps/	n. 阿尔卑斯山脉
Alsace	[3A]/Al'sAs/	n. 阿尔萨斯（法国东北部地名）
Alta	[0]/'AltE; 'B:ltB:	n. 阿尔塔（女子名）
Altair	[3A]/Al'tεE/	n. 河鼓（俗称牵牛星或牛郎星）
Alva	[3A]/'AlvE/	n. 阿尔瓦（人名）
Aman	[0]/'eimEn	n. 哈曼（波斯王亚哈随鲁的宰相，阴谋杀死所有犹太人，等于Haman）
Amanda	[0]/E'mAndE	n. 阿曼达（女子名）
Amazonia	[0]/AmE'zEuni:E	n. 亚马孙古陆，亚马孙流域
Ambien	[0]/'Ambi:En	n. 安必恩（美国产的一种安眠药）
American	[3A]/E'merikEn/	n. 美国人
Americana	[3A]/E'merikB:nE/	n. 美国文物；美国文献
Americanization	[0]/E,merikEnai'zeiFEn; -ni'z-	n. 美国化
Americanize	[3A]/E'merikEnaiz/	vt. 使美国化
Americans	[0]/E'merikEns	n. 美国人（American的复数形式）
Ames	[3A]/eimz/	n. 艾姆斯氏试验
Amish	[3A]/'B:miF/	n. 孟诺教派；孟诺教派之教徒
Amman	[3A]/A'mB:n/	n. 安曼
Ammon	[3A]/'AmEn/	n. 阿蒙神（古代埃及的太阳神）
Amor	[3A]/'eimO:/	n. （拉）埃莫（爱神丘比特，等于Cupid）
Amos	[3A]/'eimOs/	n. 阿摩司（前八世纪的希伯来先知）；阿摩司书
Amoy	[0]/E'mOi	n. 厦门（中国城市）
Ampex	[0]/'Ampeks	n. [电视] 安派克斯录像机；安培（美国公司）
Amsterdam	[3A]/,AmstE'dAm/	n. 阿姆斯特丹（荷兰首都）；阿姆斯特丹（美国纽约东部城市）
Amtrak	[3A]/'AmtrAk/	abbr. 美国铁路公司（American track）
Amway	[0]/'Amwei	n. 安利公司
Amy	[3A]/'eimi/	n. 艾米（女子名）
Anaheim	[3A]/'AnEhaim/	n. 阿纳海姆（美国加利福尼亚州西南部城市）
Andean	[3A]/An'di:En/	adj. 安第斯山脉的
Andersen	[3A]/'AndEsn/	n. 安徒生（丹麦的童话作家）
Andes	[0]/'Andi:z	n. 安第斯山脉
Andorra	[3A]/An'dO:rE/	n. 安道尔共和国；安道尔市
Andre	[0]/'Andrei	n. 安德烈（男子名，等于Andrew）
Andrea	[0]/'AndriE; O:n'dreiE	n. 安德里亚（男子名）
Andrew	[3A]/'Andru:/	n. 安德鲁（男子名）
Andromeda	[3A]/An'drLmIdE/An'drBmEdE	n. [天] 仙女座；安德洛墨达（希腊神话中的埃塞俄比亚公主）
Andy	[0]/'Andi	n. 安迪（男子名，等于Andrew）
Anes	[0]/eins	n. 麻醉法
Angela	[3A]/'AndGilE/	n. 安吉拉（女子名）
Angeles	[0]/'AndGElEs	n. 安杰利斯（姓氏）；天使城（菲律宾地名）
Angelina	[3A]/,AndGi'li:nE/	n. 安吉莉娜（女子名）
Angelo	[0]/'AndGilEu	n. 安吉洛（男子名）
Angie	[0]/'AndGi	n. 安琪（女子名）；安吉（男子名）
Anglia	[3A]/'ANɡliE/	n. 英格兰的拉丁名称
Anglo	[3A]/'ANɡlEu/	n. 英国人
Angola	[3A]/AN'ɡEulE/	n. 安哥拉（非洲国家）
Angus	[3A]/'ANgEs/	n. 安格斯（男子名）
Anita	[3A]/E'ni:tE/	n. 安尼塔（女子名）
Ankara	[3A]/'ANkErE/	n. 安卡拉（土耳其首都）
Ann	[3A]/An/	n. 安（女子名）
Anna	[3A]/'AnE/	n. 安娜（女子名）
Annapolis	[3A]/E'nApElis/	n. 安纳波利斯（美国马里兰州首府）
Annette	[3A]/E'net/	n. 安妮特（女子名）
Annie	[0]/'Ani	n. 安妮（女子名）
Anno	[0]/'AnEu	n. 伊斯兰教纪元
Anselm	[3A]/'Anselm/	n. 安塞姆（男子名，等于Ansel）
Anson	[0]/'AnsEn	n. 安森（男子名）；爱立顺（品牌）
Antares	[3A]/An'tεEri:z/	n. 心大星
Anthony	[3A]/'AntEni/	n. 安东尼（人名）
Antigone	[3A]/An'tiɡEni/	n. 安提戈涅
Antoine	[0]/An'twB:n	n. 安托万（男子名，Anthony的异体）
Antonio	[0]/An'tEuniEu	n. 安东尼奥（男名）
Antony	[3A]/'AntEni/	n. 安东尼（男子名）
Antwerp	[3A]//'AntwEp	n. 安特卫普（港市名称，位于比利时北部）
Apache	[3A]/E'pAF; ApAF/	n. 阿帕切族（美洲印第安部族）
Aphrodite	[3A]//,AfrE'daIti	n. 阿佛洛狄特（司爱与美之女神）
Apollo	[3A]/E'pLlEJ/	n. 阿波罗（太阳神）；美男子
April	[3A]/'eiprEl/	n. 四月
Aquila	[3A]/'AkwilE/	n. [天] 天鹰座；亚桂拉（意大利中部城市）
Arab	[3A]/'ArEb/	adj. 阿拉伯的
Arabia	[3A]/E'reibiE/	n. 阿拉伯半岛（亚洲西南部，等于Arabian Peninsula）
Arabian	[3A]/E'reIbIEn/E'rebiEn	adj. 阿拉伯的；阿拉伯人的
Arabic	[3A]/'ArEbik/	adj. 阿拉伯的；阿拉伯人的
Araby	[3A]/'ArEbi/	n. 阿拉伯半岛（等于Arabia）
Aram	[3A]/,εErEm/	n. 阿兰姆（人名）
Arapaho	[0]/E'rApE,hEu	n. 阿拉巴霍人（原住北美北普拉特和阿肯色河，现住怀俄明和俄克拉荷马的一支印第安人部落）；阿拉巴霍语
Archer	[3A]/'BDtFE/'BrtFM	n. 射手座；阿彻（姓氏）
Arden	[3A]/'a:dn/	n. 昔时阿尔丁的森林地带；浪漫的地方
Ares	[3A]/'εEri:z/	n. [天] 阿瑞斯（战神）
Argentina	[3A]/,B:dGEn'ti:nE/	n. 阿根廷（位于拉丁美洲）
Argentine	[3A]/'BDdG(E)ntaIn/'BrdGEn,taIn	adj. 阿根廷的；银的
Argo	[3A]/'B:ɡEu/	n. 南船座；Jason求取金羊毛所乘之船
Argos	[3A]/'B:ɡOs/	n. 阿哥斯（希腊东南一古城）
Argus	[3A]/'BDgEs/	n. 百眼巨人（希腊神话中的一个形象）
Arian	[3A]/'CEriEn/	adj. 信奉阿里乌斯教的；阿里乌斯派的
Arianism	[3A]/'CEriEnizEm/	n. 阿里乌斯教
Aries	[3A]/'εEri:z/	n. [天] 白羊座；[天] 白羊宫
Aristotle	[3A]/'AristOtl/	n. 亚里士多德
Arizona	[3A]/,Ari'zEunE/	n. 美国亚利桑那州
Arkansas	[3A]/'B:kEnsO:/	n. （美国）阿肯色州
Arlen	[0]/'B:lEn	n. 阿伦（姓氏）
Arlene	[0]/B:'li:n	n. 阿琳（女子名）
Arlington	[3A]/'B:liNtEn/	n. 阿林顿（美国马萨诸塞州一城市）；阿林顿国家公墓（National Cemetery，在弗吉尼亚州）
Armada	[0]/B:'mB:dE	n. （西班牙的）无敌舰队
Armenia	[3A]/B:'mi:njE/	n. 亚美尼亚（苏联加盟共和国名）
Armstrong	[3A]/'BDmstrLN/	n. 阿姆斯特朗（美国宇航员，登月第一人）
Arno	[3A]/'B:nEu/	n. 亚诺河（意大利中部河流）
Arnold	[3A]/'B:nEld/	n. 阿诺德（男子名）
Aron	[0]/'B:rEn	n. 阿伦（男子名）
Arran	[3A]/'ArEn/	n. 阿蓝岛（古地名）
Arsenal	[0]/'BrsEnl	n. 兵工厂；军械库
Artemis	[3A]/'B:timis/	n. 阿耳特弥斯（月亮与狩猎的女神）
Arthur	[3A]/'B:ZE/	n. 亚瑟（男子名）；亚瑟王（传说中六世纪前后英国的国王，圆桌骑士团的首领）
Artie	[0]/'B:ti	n. 阿蒂（男子名）
Aruba	[3A]/E'ru:bE/	n. 阿鲁巴岛（加勒比海）
Aryan	[3A]/'εEriEn/	n. 雅利安人；印欧语
Asgard	[3A]/'Asga:d/	n. 仙宫（北欧神话中的建筑）
Asher	[3A]//'AFM	n. 亚瑟（犹太民族的祖先之一，雅各的第八个儿子）
Asia	[3A]/'eiFE/	n. 亚洲
Asiatic	[3A]/,eiFi'Atik/	n. 亚洲人
Assam	[3A]/'AsAm/	n. 阿萨姆邦（印度东北部的邦）
Assen	[0]/,AsEn	n. 阿森（荷兰城市）
Asser	[0]/'a:sE	n. 阿塞（荷兰法学家和政治家，曾经获得诺贝尔和平奖）
Assyria	[3A]/E'siriE/	n. 亚述（亚洲西南部之古国）
Astarte	[3A]//As'tBrti	n. 阿施塔特（司爱情与生育的女神）
Aston	[3A]/'AstEn/	n. 阿斯顿（姓氏）
Astron	[0]/'AstrOn	n. 天体器（美国热核装置名称）；阿斯特朗（品牌名）
Aswan	[3A]/'Aswa:n/	n. 阿斯旺（埃及一城市）
Atar	[0]/'AtE	n. 阿塔尔（毛里塔尼亚城市）
Aten	[0]/'B:tEn	n. 阿托恩（古埃及信奉的太阳神）
Athena	[3A]/E'Zi:nE/	n. 雅典娜（智慧与技艺的女神）
Athens	[3A]//'AZInz	n. 雅典（希腊首都）
Atlanta	[3A]//At'lAntE	n. 亚特兰大（美国城市）
Atlantic	[3A]/At'lAntIk/Et'lAntIk	n. 大西洋
Atlantis	[3A]/Et'lAntis/	n. 亚特兰蒂斯（传说沉没于大西洋的岛屿）
Aton	[0]/'B:tOn	n. 阿托恩（古埃及信奉的太阳神）
Atropos	[3A]/'AtrEpOs/	n. 阿特洛波斯（希腊神话中命运三女神之一）
Attica	[3A]/'AtikE/	n. 阿提卡（古希腊的一个地方）
Auckland	[3A]/'O:klEnd/	n. 奥克兰（新西兰港市）
Audi	[0]/'audi	n. 奥迪公司；奥迪汽车
Audrey	[3A]/'O:dri/	n. 奥德丽（女子名）
Aug	[0]	abbr. 八月（August）
Augusta	[3A]/O:'gRstE/	n. 奥古斯塔（美国一城市名）
Augustus	[3A]/O:'gRstEs/	n. 奥古斯都（男子名）
Auster	[3A]//'OstM	n. [气象] 奥斯特风；热南风；南风
Austin	[3A]/'O:stin/	n. 奥斯丁（人名）；英国制汽车牌名
Australia	[3A]/L'streIlIE/O'streljE	n. 澳大利亚，澳洲
Austria	[3A]/'OstriE/	n. 奥地利
Austrian	[0]/'OstriEn	adj. 奥地利的；奥地利人的
Ave	[0]/'B:vi	abbr. 途径；林荫大道；大街（avenue）
Avery	[0]/'eivEri	n. 艾弗里（男子名）
Avis	[3A]/'eivis/	n. 阿维斯（女子名）；阿维斯出租汽车公司（与Hertz齐名，为美国两家最大的供旅客租用自己驾驶的出租汽车公司）
Avril	[0]	n. 艾薇尔（加拿大女歌手）；四月之恋（电影名）
Azores	[3A]/'eizEuz/	n. 亚速尔群岛（位于大西洋北部）
Azrael	[3A]/'AzreiEl/	n. 死神；死的天使
Aztec	[3A]/'Aztek/	n. 阿芝特克人；阿芝特克语
Aztecan	[0]/'AztekEn	adj. 阿兹特克语的；阿兹特克人的
BA	[0]/'bi 'e	abbr. 文学士（Bachelor of Arts）
BART	[0]/bB:t	abbr. 从男爵（Baronet）
BB	[0]/'bi:bi:	abbr. 滚珠轴承（ball bearing）；铅笔芯（double black）
BBC	[0]/'bi 'bi 'si	abbr. 英国广播公司（British Broadcasting Corporation）
BC	[0]/,bi: 'si:	abbr. 公元前（Before Christ）
BEA	[0]/bi:; biE	abbr. 东亚银行有限公司（Bank of East Asia Ltd）；美国劳工部劳工统计局（Bureau of Economic Analysis）；英国欧洲航空公司（British European Airways Corporation）
BF	[0]	abbr. 金融学学士（Bachelor of Finance）；林业学士（Bachelor of Forestry）；男朋友（boyfriend）
BH	[0]	abbr. 布氏硬度（Brinell hardness）；营业时间（Business Hours）
BIOS	[0]/'baiOs	abbr. 基本输入/输出系统Basic Input / Output System）
BIS	[0]/bIs	abbr. 国际清算银行（Bank for International Settlements）；英国情报服务社（British Information Service）；情报科学局（Bureau of Information Science）；商业信息系统（Business Information System）
BITNET	[0]/'bitnet	abbr. 一种联接世界教育单位的计算机网络（Because It's Time Network）
BMX	[0]/'bi:em'eks	abbr. 自行车越野赛（bicycle motocross）
BO	[0]/bEu	abbr. 分支机构（branch office）；狐臭（Body Odor）；戏院售票房（Box Office）；原油（Base Oil）
BOK	[0]/bOk	abbr. 韩国银行（The Bank of Korea）；知识体系（Body Of Knowledge）
BOS	[0]	abbr. 补偿系统（Back-Off System）；基本操作系统（Basic Operation System）
BSC	[0]	abbr. 商学士（Bachelor of Science in Commerce）
BST	[0]/,bi: es 'ti:	abbr. 英国夏令时（British Summer Time）
BT	[0]/'bi'ti	abbr. 英国电信（British Telecom）
BZ	[0]/'bi:zi	abbr. 炮轰区（Bombardment Zone）；零转移（Branch on Zero）
Bab	[3A]/'bi:'ei'bi:/	n. 巴布（女子名，等于Barbara）
Babi	[3A]/'bB:bi:/	n. 泛神教义；波斯神的信徒（等于Babism）
Babylon	[0]/'bAbilEn	n. 巴比伦（古代巴比伦王国Babylonia的首都）；繁华的都市，罪恶之都
Babylonian	[3A]/,bAbi'lEunjEn/	adj. 巴比伦的；罪恶的
Bacchus	[3A]/'bAkEs/	n. 酒神巴克斯
Bach	[3A]//bBk	n. 巴赫（德国作曲家）
Baden	[3A]/'bB:dn/	n. 巴登（西德省名）；[纺] 巴登亚麻平布
Bagdad	[3A]/'bAɡdAd/	n. 巴格达（伊拉克首都）
Baghdad	[3A]/'bAɡdAd/	n. 巴格达（伊拉克首都）
Bahamas	[3A]/bE'hB:mEz/	n. 巴哈马群岛（拉丁美洲国家）
Bahia	[3A]/bB:'hi:E/	n. 巴伊亚（巴西北部的一个省份）
Bain	[0]/bein	n. 贝恩（公司名称）
Baku	[3A]/'bB:ku:/	n. 巴库（阿塞拜疆共和国首都）
Bala	[0]/'beilE	n. 巴拉（姓氏）
Baldwin	[3A]/'bO:ldwin/	n. 鲍尔温苹果；鲍尔温（姓氏）
Bali	[3A]/'bB:li/	n. （印度尼西亚）巴厘岛
Balinese	[3A]/,bB:li'ni:z/	adj. 巴厘岛的；巴里岛人的；巴厘语的
Balt	[0]/bO:lt	n. 波罗的海地区居民
Baltic	[3A]/'bO:ltik/	adj. 波罗的海的
Baltimore	[3A]//'bOltE,mOr	n. 巴尔的摩（美国一座港市）
Balzac	[3A]/'bAlzAk/	n. 巴尔扎克（法国小说家）
Banbury	[0]/'bAnbEri	n. 班伯里（英国一座城市）
Bangladesh	[3A]/,ba:NglE'deF/	n. 孟加拉国（亚洲国家）
Bantu	[3A]/bAn'tu:/	n. 班图人，班图语
Barbados	[3A]/bB:'beidEuz/	n. 巴巴多斯（拉丁美洲国家）
Barbara	[3A]/'ba:bErE/	n. 芭芭拉（女子名）
Barbie	[2A]/'bBrbi	n. 芭比（女子名）；芭比娃娃（商标名）
Barbour	[0]/'bB:bE	n. 巴伯衫（商标名称）
Barcelona	[3A]/,ba:si'lEunE/	n. 巴塞罗纳（西班牙）
Barclay	[0]/'bB:kli	n. 巴克利（姓氏， 男子名）
Barents	[0]/'bArEnts	n. 巴伦支海
Bari	[3A]/ba:ri/	n. 巴里（意大利东南部海港）
Barnard	[3A]/'bB:nEd/	n. 巴纳德（男子名）
Barnes	[3A]/ba:nz/	n. 巴尔内斯（姓氏）
Baroque	[0]/bE'rok	adj. 巴洛克式的；结构复杂的，形式怪样的
Barrett	[3A]/'bArit/	n. 巴雷特（男子名）
Barry	[0]/'bAri	n. 巴里（男子名）
Barrymore	[3A]/'bArimO:/	n. 巴里摩尔（姓氏）
Barton	[1]/'bBDt(E)n	n. 巴顿（男子名）
Basel	[3A]/'bB:zEl/	n. 巴塞尔（瑞士西北部城市，在莱茵河畔）
Basil	[3A]/'bAz(E)l; -zIl/'bAzl	n. 巴兹尔（男子名）
Bata	[0]/'bB:tE	n. 巴塔（赤道几内亚一座城市）
Batavia	[3A]/bE'teiviE/	n. 巴达维亚（印尼首都和最大商港雅加达的旧名）
Bathurst	[3A]/'bAZE:st/	n. 巴瑟斯特（澳大利亚新南威尔士州城市）
Bauer	[0]/'bauE	n. 鲍尔（德语姓氏）
Bauhaus	[3A]/'bauhaus/	n. 鲍豪斯建筑学派（德国建筑之一派）；鲍豪斯（德国人名）
Bavaria	[3A]/bE'vεEriE/	n. 巴伐利亚州（联邦德国一州名）
Bavarian	[3A]/bE'vεEriEn/	adj. 巴伐利亚的；巴伐利亚人的
Baxter	[3A]/'bAkstE/	n. 巴克斯特（公司名称）
Bayer	[3A]/'baiE/	n. 拜耳（财富500强公司之一，总部所在地德国）；月球表面第三象限内大坑名
Beatles	[0]/'bi:tlz	n. 披头士合唱（摇滚乐队）
Beatrice	[3A]/'biEtris; 'bi:tris/	n. 比阿特丽斯（女子名）；碧翠斯（女子名）
Beaumont	[3A]/'bEumOnt/	n. 博蒙特（姓氏）；博蒙特镇
Becker	[0]/'bekE	n. 贝克尔（美国经济学家）
